provider,id,description,package,title,name,level,risk-level,security,reliability,performance-efficiency,cost-optimisation,operational-excellence,release-date,update-date,knowledge-base-html,multi-risk-level,must-be-configured,customisable,not-scored,requires-all-descriptors,primary-descriptors,secondary-descriptors,has-cost-and-waste,organisation
aws,EC2-001,Ensure no security group opens range of ports,base,Security Group Port Range,SecurityGroupPortRange,resource,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2017-01-01,https://www.cloudconformity.com/knowledge-base/aws/EC2/security-group-port-range.html,,,,,,,,,
aws,EC2-002,Ensure no security groups allow ingress from 0.0.0.0/0 to port 22,base,Unrestricted SSH Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-ssh-access.html,,,,,,,,,
aws,EC2-003,Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389,base,Unrestricted RDP Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-rdp-access.html,,,,,,,,,
aws,EC2-004,Ensure no security group allows unrestricted ingress access to port 1521,base,Unrestricted Oracle Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-oracle-access.html,,,,,,,,,
aws,EC2-005,Ensure no security group allows unrestricted ingress access to port 3306,base,Unrestricted MySQL Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-mysql-access.html,,,,,,,,,
aws,EC2-006,Ensure no security group allows unrestricted ingress access to port 5432,base,Unrestricted PostgreSQL Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-postgresql-access.html,,,,,,,,,
aws,EC2-007,Ensure no security group allows unrestricted ingress access to port 53,base,Unrestricted DNS Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-dns-access.html,,,,,,,,,
aws,EC2-008,Ensure no security group allows unrestricted ingress access to port 1433,base,Unrestricted MsSQL Access,SecurityGroupUnrestrictedPortAccess,service,MEDIUM,YES,NO,NO,NO,NO,2017-01-01,2018-11-19,https://www.cloudconformity.com/knowledge-base/aws/EC2/unrestricted-mssql-access.html,,,,,,,,,
aws,EC2-009,Determine if the number of allocated EC2-Classic EIPs per region is close to Elastic IP Address Limit,base,EC2-Classic Elastic IP Address Limit,ClassicElasticIPLimit,service,MEDIUM,NO,NO,YES,NO,NO,2017-01-01,2019-10-09,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-classic-elastic-ip-address-limit.html,,,,,,,,,
aws,EC2-010,Determine if the number of allocated EC2-VPC EIPs per region is close to Elastic IP Address Limit,base,EC2-VPC Elastic IP Address Limit,VPCElasticIPLimit,service,MEDIUM,NO,NO,YES,NO,NO,2017-01-01,2019-10-09,https://www.cloudconformity.com/knowledge-base/aws/EC2/ec2-vpc-elastic-ip-address-limit.html,,,,,,,,,
